2021-11-11 21:31:02,627 p=25093 u=rob n=ansible | PLAY [prepare node and Lab] ***************************************************************************************************************************************************************************
2021-11-11 21:31:05,140 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,142 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,145 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,147 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : add node to lab] ***********************************************************************************************************************************************************
2021-11-11 21:31:05,161 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,167 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,174 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,176 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,180 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,182 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : start node] ****************************************************************************************************************************************************************
2021-11-11 21:31:05,196 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,202 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,210 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,212 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,214 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,216 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : get node infos] ************************************************************************************************************************************************************
2021-11-11 21:31:05,232 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,241 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,246 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,248 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,251 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,253 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] ******************************************************************************************************************************************************************
2021-11-11 21:31:05,267 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,275 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,281 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,283 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,286 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,288 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : copy file] *****************************************************************************************************************************************************************
2021-11-11 21:31:05,300 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,308 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,314 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,316 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,318 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,321 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : run expect script] *********************************************************************************************************************************************************
2021-11-11 21:31:05,332 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,338 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,343 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,345 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,348 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,350 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : Login to EVE-NG and get Cookie (due timeout)] ******************************************************************************************************************************
2021-11-11 21:31:05,364 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,372 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,378 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,380 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,382 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,384 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : stop node] *****************************************************************************************************************************************************************
2021-11-11 21:31:05,397 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,402 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,407 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,409 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,412 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,414 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : Pause to wait node is shutdown] ********************************************************************************************************************************************
2021-11-11 21:31:05,425 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,427 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : delete iso] ****************************************************************************************************************************************************************
2021-11-11 21:31:05,442 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,448 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,454 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,456 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,459 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,461 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : commit virtioa.qcow2] ******************************************************************************************************************************************************
2021-11-11 21:31:05,474 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,482 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,488 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,490 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,493 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,495 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : delete lab for node install] ***********************************************************************************************************************************************
2021-11-11 21:31:05,508 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,516 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,522 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,524 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,527 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,534 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : fail] *************************************************************************************************************************************************************************
2021-11-11 21:31:05,549 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:05,555 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,561 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,563 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,565 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:05,568 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Login to EVE-NG and get Cookie] ***********************************************************************************************************************************************
2021-11-11 21:31:05,588 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:05,594 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:05,596 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:05,599 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:06,283 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:06,288 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : get running lab list] *********************************************************************************************************************************************************
2021-11-11 21:31:06,317 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:06,325 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:06,327 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:06,331 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:06,837 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:06,842 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : delte existing lab] ***********************************************************************************************************************************************************
2021-11-11 21:31:06,871 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:06,879 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:06,881 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:06,885 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:07,397 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:07,405 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Ensure labtest is present] ****************************************************************************************************************************************************
2021-11-11 21:31:07,434 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:07,441 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:07,442 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:07,448 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:07,861 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:07,867 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Create L3VPN_EVPN Lab] ********************************************************************************************************************************************************
2021-11-11 21:31:07,896 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:07,904 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:07,904 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:07,909 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:08,777 p=25093 u=rob n=ansible | changed: [eveng]
2021-11-11 21:31:08,781 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Login to EVE-NG and get Cookie] ***********************************************************************************************************************************************
2021-11-11 21:31:08,803 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:08,812 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:08,813 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:08,817 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:09,558 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:09,565 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : start vyos-oobm] **************************************************************************************************************************************************************
2021-11-11 21:31:09,596 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:09,603 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:09,604 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:09,610 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:10,626 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:10,633 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Wait for vyos-oobm] ***********************************************************************************************************************************************************
2021-11-11 21:31:10,654 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:10,674 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:10,675 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:10,679 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:55,179 p=25093 u=rob n=ansible | ok: [vyos-oobm]
2021-11-11 21:31:55,189 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Login to EVE-NG and get Cookie] ***********************************************************************************************************************************************
2021-11-11 21:31:55,222 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:55,230 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:55,232 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:55,236 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:56,017 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:56,023 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : get lab status] ***************************************************************************************************************************************************************
2021-11-11 21:31:56,053 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:56,062 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:56,062 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:56,066 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:56,637 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:56,644 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : start all nodes] **************************************************************************************************************************************************************
2021-11-11 21:31:56,674 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:56,683 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:56,684 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:56,691 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:57,945 p=25093 u=rob n=ansible | ok: [eveng] => (item=2)
2021-11-11 21:31:59,300 p=25093 u=rob n=ansible | ok: [eveng] => (item=3)
2021-11-11 21:32:00,832 p=25093 u=rob n=ansible | ok: [eveng] => (item=4)
2021-11-11 21:32:01,966 p=25093 u=rob n=ansible | ok: [eveng] => (item=5)
2021-11-11 21:32:02,988 p=25093 u=rob n=ansible | ok: [eveng] => (item=6)
2021-11-11 21:32:03,899 p=25093 u=rob n=ansible | ok: [eveng] => (item=7)
2021-11-11 21:32:04,760 p=25093 u=rob n=ansible | ok: [eveng] => (item=8)
2021-11-11 21:32:05,652 p=25093 u=rob n=ansible | ok: [eveng] => (item=9)
2021-11-11 21:32:06,672 p=25093 u=rob n=ansible | ok: [eveng] => (item=10)
2021-11-11 21:32:07,637 p=25093 u=rob n=ansible | ok: [eveng] => (item=11)
2021-11-11 21:32:08,298 p=25093 u=rob n=ansible | ok: [eveng] => (item=1)
2021-11-11 21:32:08,309 p=25093 u=rob n=ansible | TASK [eve-ng-lab-test : Wait for vyos nodes] **********************************************************************************************************************************************************
2021-11-11 21:32:08,334 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:32:08,342 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:32:09,293 p=25667 u=rob n=ansible | network_os is set to vyos
2021-11-11 21:32:09,296 p=25668 u=rob n=ansible | network_os is set to vyos
2021-11-11 21:32:09,299 p=25669 u=rob n=ansible | network_os is set to vyos
2021-11-11 21:32:24,326 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | Exception: Error reading SSH protocol banner
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | Traceback (most recent call last):
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2211, in _check_banner
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |     buf = self.packetizer.readline(timeout)
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 380, in readline
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |     buf += self._read_timeout(timeout)
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 622, in _read_timeout
2021-11-11 21:32:24,330 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |     raise socket.timeout()
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | socket.timeout
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | 
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | During handling of the above exception, another exception occurred:
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | 
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | Traceback (most recent call last):
